"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"38",2005-09-30,"Clothing & Subsistence","Army","Defense","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",12464,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,1.48820160004167e-05,1.48540102490764e-05,4.09565744032849,TRUE,0,4.84336707274912e-09,8.42970985664163e-09,0,"No history [0-3]",6.85035045136883e-09
"39",2005-09-30,"Clothing & Subsistence","Army","Defense","8975","TOBACCO PRODUCTS",-2,0,0,0,0,"Not PBL","Not PBL",112204,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.000133971576003751,0.000133719461327613,5.05000833951339,TRUE,0,4.36011841327617e-08,7.58863257986696e-08,0,"No history [0-3]",6.16685431679548e-08
"40",2005-09-30,"Fuels","Army","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",272321,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.000325151274009104,0.000324539387438923,5.43508113319623,TRUE,0,1.05820809099656e-07,1.84177392319521e-07,0,"No history [0-3]",1.49670594132478e-07
"41",2005-09-30,"Fuels","Army","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",168401,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.00020107079400563,0.000200692408532952,5.22634466610183,TRUE,0,6.54386921067093e-08,1.13893739535326e-07,0,"No history [0-3]",9.2555027788909e-08
"42",2005-09-30,"Other","DLA","Defense","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",6882,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,8.21710800023008e-06,8.2016446192349e-06,3.83771466828491,TRUE,0,2.67426606183083e-09,4.65446592052373e-09,0,"No history [0-3]",3.7824223207895e-09
"43",2004-09-30,"Clothing & Subsistence","Navy","Defense","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",46389,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,5.74271290627777e-05,5.71997533908755e-05,4.66641501060535,TRUE,0,1.8650815335203e-08,3.24610874013982e-08,0,"No history [0-3]",2.63792975694044e-08
"44",2004-09-30,"Fuels","Navy","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",4168,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,5.1597636063217e-06,5.13933415536375e-06,3.61992771029147,TRUE,0,1.67575499185423e-09,2.91659256049985e-09,0,"No history [0-3]",2.37015051562391e-09
"45",2004-09-30,"Fuels","Navy","Defense","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",37550,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.807788945,0.824077239,0.843168109,0.9645,0.811,4.64849144475479e-05,4.63008631319359e-05,4.57460994134019,TRUE,0,1.50970729232549e-08,2.62759238595896e-08,0,"No history [0-3]",2.13529634984832e-08
"46",2005-09-30,"Other","Army","Defense","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,0,"Not PBL","Not PBL",-1005,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,-1.1999700000336e-06,-1.19771183410797e-06,NA,TRUE,0,-3.90531443205461e-10,-6.79706226406037e-10,0,"No history [0-3]",-5.52358970124011e-10
"47",2005-09-30,"Fuels","Navy","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",212655,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.000253910070007109,0.000253432248838041,5.32767559841558,TRUE,0,8.26352876167734e-08,1.43823808533707e-07,0,"No history [0-3]",1.16877509245494e-07
"48",2005-09-30,"Fuels","Navy","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",-2,0,0,0,0,"Not PBL","Not PBL",57948,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,6.91899120019373e-05,6.90597068287451e-05,4.76303845144797,TRUE,0,2.25179264386767e-08,3.91916581171911e-08,0,"No history [0-3]",3.18488533340758e-08
"49",2005-09-30,"Fuels","Army","Defense","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",1765250,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.00210770850005902,0.00210374210463592,6.24680622016682,TRUE,0,6.85955850864119e-07,1.19388200613259e-06,0,"No history [0-3]",9.7020066866807e-07
"50",2005-09-30,"Fuels","Army","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",-2,0,0,0,0,"Not PBL","Not PBL",8715,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,1.04057100002914e-05,1.03861279942796e-05,3.94026739144601,TRUE,0,3.3865487836175e-09,5.89416891853593e-09,0,"No history [0-3]",4.78985912898583e-09
"51",2005-09-30,"Other","Army","Defense","9450","NONMETALLIC SCRAP, EXCEPT TEXTILE",-2,0,0,0,0,"Not PBL","Not PBL",2446,"Army","Army","Army",FALSE,"Products","Products (All)","Other","Other Products",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,2.92052400008177e-06,2.91502800619712e-06,3.38845645270027,TRUE,0,9.50487472716973e-10,1.65428997988972e-09,0,"No history [0-3]",1.3443482994262e-09
"52",2005-09-30,"Fuels","Army","Defense","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",98756,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,0.000117914664003302,0.000117692766058873,4.99456349100971,TRUE,0,3.83754459753219e-08,6.67911125322931e-08,0,"No history [0-3]",5.42773755756884e-08
"53",2006-09-30,"Clothing & Subsistence","Air Force","Defense","8910","DAIRY FOODS AND EGGS",-2,0,0,0,0,"Not PBL","Not PBL",62169,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.867169179,0.884654819,0.905149051,1.0354,0.868,7.16918930071891e-05,7.16232718894009e-05,4.79357388171632,TRUE,0,2.33538142827962e-08,4.0646491478525e-08,0,"No history [0-3]",3.30311144727113e-08
"54",2005-09-30,"Fuels","Navy","Defense","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",35400,"Navy","Navy","Navy",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,4.22676000011835e-05,4.2188058634251e-05,4.54900326202579,TRUE,0,1.37560329248491e-08,2.39418909599738e-08,0,"No history [0-3]",1.94562264103383e-08
"55",2006-09-30,"Clothing & Subsistence","Army","Defense","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",37700,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.867169179,0.884654819,0.905149051,1.0354,0.868,4.34747923622871e-05,4.34331797235023e-05,4.57634135020579,TRUE,0,1.41620228483878e-08,2.46485021271115e-08,0,"No history [0-3]",2.00304495105473e-08
"56",2006-09-30,"Clothing & Subsistence","Army","Defense","8945","FOOD, OILS AND FATS",-2,0,0,0,0,"Not PBL","Not PBL",12757,"Army","Army","Army",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,0.867169179,0.884654819,0.905149051,1.0354,0.868,1.47110855746869e-05,1.46970046082949e-05,4.10574855552699,TRUE,0,4.79217308957248e-09,8.34060853144724e-09,0,"No history [0-3]",6.77794282244171e-09
"57",2006-09-30,"Fuels","Army","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",30563,"Army","Army","Army",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.867169179,0.884654819,0.905149051,1.0354,0.868,3.52445644288748e-05,3.52108294930876e-05,4.48519598143178,TRUE,0,1.14810054195033e-08,1.99822856899445e-08,0,"No history [0-3]",1.62384782066541e-08
"58",2005-09-30,"Fuels","DLA","Defense","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",19434,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.837520938,0.854408749,0.87420229,1,0.8391,2.32041960006497e-05,2.31605291383625e-05,4.28856219839382,TRUE,0,7.55182892264172e-09,1.31436923422636e-08,0,"No history [0-3]",1.06811385327264e-08
"59",2006-09-30,"Fuels","Air Force","Defense","9135","LIQUID PROPELLANT FUELS AND OXIDIZERS, CHEMICAL BASE",-2,0,0,0,0,"Not PBL","Not PBL",133807,"Air Force","Air Force","Air Force",FALSE,"Fuels","Products (All)","Fuels","Fuels",TRUE,0.867169179,0.884654819,0.905149051,1.0354,0.868,0.000154303223915665,0.000154155529953917,5.1264788337745,TRUE,0,5.02646628985204e-08,8.74838759714165e-08,0,"No history [0-3]",7.10932190360161e-08
