"","Fiscal.Year","ProductOrServiceArea","Customer","SubCustomer","Contracting.Agency.ID","MajorCommandID","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","MajorCommandCode","ContractingOfficeCode","MajorCommandName","MCC_StartFiscal_Year","MCC_EndFiscal_Year","ContractingOfficeName","Contracting.Department.ID","Contracting.Agency.Name","CSIS.Name","Summarized.Agency","SubCustomer.sum","SubCustomer.detail","SubCustomer.platform","SubCustomer.component","Subcustomer.Obsolete","ProductServiceOrRnDarea","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","ProductServiceOrRnDarea.sum","SupplyServiceFRC","SupplyServiceERS","Deflator.2005","Deflator.2011","Deflator.2012","Deflator.2013","Deflator.2014","Deflator.2015","Deflator.2016","Obligation.2013","Obligation.2014","Obligation.2015","Obligation.2016","LogOfAction.Obligation","Fiscal.Year.End","Fiscal.Year.Start","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"237729",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","8115","BOXES, CARTONS, AND CRATES",0,0,0,0,2,"Not PBL","Not PBL",170747.7,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000167163622337385,0.0001707477,0.000173159656087695,0.0001732599695586,5.23235486237386,2014-09-30,2013-10-01,TRUE,0,4.93349214239743e-08,8.12242999286649e-08,2,"No history [0-3]",6.89445642550811e-08
"237730",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","8120","COMMERCIAL AND INDUSTRIAL GAS CYLINDERS",0,0,0,0,2,"Not PBL","Not PBL",221981.04,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000217321549494488,0.00022198104,0.000225116710470413,0.000225247123287671,5.34631588177037,2014-09-30,2013-10-01,TRUE,0,6.41380069307645e-08,1.05595885458117e-07,2,"No history [0-3]",8.96315796680701e-08
"237731",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","8125","BOTTLES AND JARS",0,0,0,0,2,"Not PBL","Not PBL",150056.9,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000146907132340399,0.0001500569,0.000152176580988123,0.000152264738711314,5.17625597019091,2014-09-30,2013-10-01,TRUE,0,4.33566330359072e-08,7.1381732532653e-08,2,"No history [0-3]",6.05900260089493e-08
"237732",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","8135","PACKAGING & PACKING BULK MATERIALS",0,0,0,0,2,"Not PBL","Not PBL",160259.5,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000156895574780674,0.0001602595,0.000162523301366789,0.000162617453069508,5.20482378343447,2014-09-30,2013-10-01,TRUE,0,4.63045173665321e-08,7.62350865892651e-08,2,"No history [0-3]",6.47096352995511e-08
"237734",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","8150","FREIGHT CONTAINERS",0,0,0,0,2,"Not PBL","Not PBL",376080.14,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000368186034081577,0.00037608014,0.000381392590962059,0.000381613536276002,5.57528039985116,2014-09-30,2013-10-01,TRUE,0,1.0866257147837e-07,1.78900483512072e-07,2,"No history [0-3]",1.51853766564878e-07
"237736",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","9310","PAPER AND PAPERBOARD",0,0,0,0,2,"Not PBL","Not PBL",6272,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,6.1403476550494e-06,6.272e-06,6.36059731980006e-06,6.36428209030949e-06,3.79740604967638,2014-09-30,2013-10-01,TRUE,0,1.81219792226289e-09,2.9835764063152e-09,2,"No history [0-3]",2.53251028861805e-09
"237737",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","9505","WIRE, NONELECTRICAL",0,0,0,0,2,"Not PBL","Not PBL",27940,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.73535257465051e-05,2.794e-05,2.83346761982165e-05,2.83510908168442e-05,4.44622640177816,2014-09-30,2013-10-01,TRUE,0,8.072833218754e-09,1.3290995662061e-08,2,"No history [0-3]",1.12816226823961e-08
"237738",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","9515","PLATE, SHEET, STRIP, FOIL, AND LEAF",0,0,0,0,2,"Not PBL","Not PBL",1017370.08,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000996014984860558,0.00101737008,0.0010317412952954,0.00103233899543379,6.00747896124701,2014-09-30,2013-10-01,TRUE,0,2.93953435132084e-07,4.8396067716502e-07,2,"No history [0-3]",4.10794036181787e-07
"237739",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","9525","WIRE NONELECT NONFERROUS BASE METAL",0,0,0,0,2,"Not PBL","Not PBL",293100.37,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000286948050003764,0.00029310037,0.000297240661328827,0.000297412856418062,5.46701636667746,2014-09-30,2013-10-01,TRUE,0,8.46868433559445e-08,1.39427192062222e-07,2,"No history [0-3]",1.18348166872251e-07
"237921",2014-01-01,"Other","Defense","DLA","97AS","ORG-2783","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",0,0,0,0,2,"Not PBL","Not PBL",384421.42,"DLA LAND",NA,"DLA LAND",2002,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000376352226538227,0.00038442142,0.000389851698616985,0.000390077544393709,5.58480757860272,2014-09-30,2013-10-01,TRUE,0,1.11072656026363e-07,1.82868411797543e-07,2,"No history [0-3]",1.55221811434178e-07
"237922",2014-01-01,"Other","Defense","DLA","97AS","ORG-2783","6850","MISCELLANEOUS CHEMICAL SPECIALTIES",0,0,0,0,2,"Not PBL","Not PBL",9411.3,"DLA LAND",NA,"DLA LAND",2002,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,9.21375221396148e-06,9.4113e-06,9.54424259499909e-06,9.54977168949772e-06,3.97364961745821,2014-09-30,2013-10-01,TRUE,0,2.71925036763277e-09,4.47693441211005e-09,2,"No history [0-3]",3.80009790804705e-09
"237934",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","3130","BEARINGS, MOUNTED",0,0,0,0,2,"Not PBL","Not PBL",280664.36,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000274773077930794,0.00028066436,0.000284628982139573,0.000284793871131405,5.44818726750426,2014-09-30,2013-10-01,TRUE,0,8.1093649560785e-08,1.33511409851651e-07,2,"No history [0-3]",1.13326750533865e-07
"237935",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","3449","MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES",0,0,0,0,2,"Not PBL","Not PBL",195368.6,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000191267717614841,0.0001953686,0.00019812834718321,0.000198243125317098,5.2908547643851,2014-09-30,2013-10-01,TRUE,0,5.64487517530946e-08,9.29364071260893e-08,2,"No history [0-3]",7.88859996130269e-08
"237936",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","3510","LAUNDRY AND DRY CLEANING EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",12490,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,1.22278287964871e-05,1.249e-05,1.26664318437983e-05,1.2673769660071e-05,4.09656243837414,2014-09-30,2013-10-01,TRUE,0,3.60879337516956e-09,5.94146513311174e-09,2,"No history [0-3]",5.04321643890935e-09
"237937",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","3540","WRAPPING AND PACKAGING MACHINERY",0,0,0,0,2,"Not PBL","Not PBL",5449.89,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,5.33549414569151e-06,5.44989e-06,5.52687431875082e-06,5.53007610350076e-06,3.73638773661148,2014-09-30,2013-10-01,TRUE,0,1.57466188369919e-09,2.59250051355439e-09,2,"No history [0-3]",2.20055843380686e-09
"238088",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","9540","STRUCTURAL SHAPES NONFERROUS METAL",0,0,0,0,2,"Not PBL","Not PBL",78800.4,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,7.71463410964532e-05,7.88004e-05,7.9913522487113e-05,7.99598173515982e-05,4.89652842202448,2014-09-30,2013-10-01,TRUE,0,2.27681634492163e-08,3.74851744655932e-08,2,"No history [0-3]",3.18180522556151e-08
"238091",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","3770","SADDLERY, HARNESS, WHIPS, AND RELATED ANIMAL FURNISHINGS",0,0,0,0,2,"Not PBL","Not PBL",3123.75,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,3.05818096101093e-06,3.12375e-06,3.1678756182598e-06,3.16971080669711e-06,3.49467626913451,2014-09-30,2013-10-01,TRUE,0,9.02559512064524e-10,1.48596090548902e-09,2,"No history [0-3]",1.26130883515157e-09
"238092",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","4610","WATER PURIFICATION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",9800,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,9.59429321101468e-06,9.8e-06,9.93843331218759e-06,9.94419076610857e-06,3.99122607569249,2014-09-30,2013-10-01,TRUE,0,2.83155925353576e-09,4.6618381348675e-09,2,"No history [0-3]",3.95704732596571e-09
"238097",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","6650","OPTICAL INSTRUMENTS",0,0,0,0,2,"Not PBL","Not PBL",5910,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,5.78594621194865e-06,5.91e-06,5.99348376275803e-06,5.99695585996956e-06,3.77158748088126,2014-09-30,2013-10-01,TRUE,0,1.70760359065269e-09,2.81137381398642e-09,2,"No history [0-3]",2.38634180576095e-09
"238098",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","6665","HAZARD-DETECTING INSTRU & APPARATUS",0,0,0,0,2,"Not PBL","Not PBL",340918.81,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000333762757580633,0.00034091881,0.000345734577352587,0.000345934865550482,5.53265096383915,2014-09-30,2013-10-01,TRUE,0,9.85032460367245e-08,1.6217431728078e-07,2,"No history [0-3]",1.37656312804277e-07
"238099",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","7125","CABINETS LOCKERS BINS & SHELVING",0,0,0,0,2,"Not PBL","Not PBL",25191.96,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.46631684489952e-05,2.519196e-05,2.55478178023773e-05,2.55626179604262e-05,4.40126195805271,2014-09-30,2013-10-01,TRUE,0,7.27882933190845e-09,1.19837591653119e-08,2,"No history [0-3]",1.01720181585546e-08
"238100",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","8145","SPECIAL SHIPPING & STORAGE CONTAIN",0,0,0,0,2,"Not PBL","Not PBL",178513.07,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000174765993426366,0.00017851307,0.000181034718525395,0.000181139594114663,5.25167001888563,2014-09-30,2013-10-01,TRUE,0,5.15786056362834e-08,8.49182691120685e-08,2,"No history [0-3]",7.20800679891254e-08
"238102",2014-01-01,"Other","Defense","DLA","97AS","ORG-2785","9930","MEMORIALS-CEMETERY & MORTUARY EQ",0,0,0,0,2,"Not PBL","Not PBL",2335707.6,"DLA TROOP SUPT MED",NA,"DLA TROOP SUPPORT MEDICAL",2004,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.00228667995608116,0.0023357076,0.0023687014509561,0.00237007366818874,6.36841847386212,2014-09-30,2013-10-01,TRUE,0,6.74866782483042e-07,1.11109089403876e-06,2,"No history [0-3]",9.43112807430386e-07
"238103",2014-01-01,"Other","Defense","DLA","97AS","ORG-2786","7320","KITCHEN EQUIPMENT AND APPLIANCES",0,0,0,0,2,"Not PBL","Not PBL",3358413.64,"DLA TROOP SUPT SUB",NA,"DLA TROOP SUPT SUB",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.00328791889653379,0.00335841364,0.00340585408121237,0.0034078271334348,6.52613418510347,2014-09-30,2013-10-01,TRUE,0,9.70361961177829e-07,1.59758987547053e-06,2,"No history [0-3]",1.35606139935191e-06
"238301",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","3940","BLOCKS, TACKLE, RIGGING, AND SLINGS",0,0,0,0,2,"Not PBL","Not PBL",901936.51,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000883004421904008,0.00090193651,0.00091467712821043,0.000915207011669203,5.95517596733449,2014-09-30,2013-10-01,TRUE,0,2.60600680713495e-07,4.29049185464011e-07,2,"No history [0-3]",3.64184230110851e-07
"238302",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","4030","FITTINGS FOR ROPE, CABLE, AND CHAIN",0,0,0,0,2,"Not PBL","Not PBL",236344.89,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000231383895263777,0.00023634489,0.000239683462034828,0.000239822313546423,5.37354621688309,2014-09-30,2013-10-01,TRUE,0,6.82882204393257e-08,1.12428736855415e-07,2,"No history [0-3]",9.54314198959346e-08
"238303",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","4610","WATER PURIFICATION EQUIPMENT",0,0,0,0,2,"Not PBL","Not PBL",744966.34,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.00072932913247923,0.00074496634,0.000755489621419844,0.000755927285641806,5.87213665035566,2014-09-30,2013-10-01,TRUE,0,2.15246564653027e-07,3.54378825816803e-07,2,"No history [0-3]",3.00802761595047e-07
"238304",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","4720","HOSE AND FLEXIBLE TUBING",0,0,0,0,2,"Not PBL","Not PBL",47937068.25,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.0469308457619309,0.04793706825,0.0486142199984092,0.0486423828006088,7.68067146979398,2014-09-30,2013-10-01,TRUE,0,1.38506784888432e-05,2.28035564124078e-05,2,"No history [0-3]",1.93560456870712e-05
"238306",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","4930","LUBRICATION & FUEL DISPENSING EQ",0,0,0,0,2,"Not PBL","Not PBL",156117.18,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.00015284020410171,0.00015611718,0.000158322467583346,0.000158414185692542,5.19345069786478,2014-09-30,2013-10-01,TRUE,0,4.5107657720909e-08,7.42645942073443e-08,2,"No history [0-3]",6.3037047924113e-08
"238307",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","5411","RIGID WALL SHELTERS",0,0,0,0,2,"Not PBL","Not PBL",0,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0,0,0,0,0,2014-09-30,2013-10-01,TRUE,0,0,0,2,"No history [0-3]",0
"238308",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","5430","STORAGE TANKS",0,0,0,0,2,"Not PBL","Not PBL",28234.76,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,2.76420985900642e-05,2.823476e-05,2.86335999332267e-05,2.86501877219685e-05,4.45078410051566,2014-09-30,2013-10-01,TRUE,0,8.15799958666953e-09,1.34312123364114e-08,2,"No history [0-3]",1.1400640975233e-08
"238309",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","5610","MINERAL CONSTRUCTION MATERIALS, BULK",0,0,0,0,2,"Not PBL","Not PBL",164100.43,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000160655881783019,0.00016410043,0.000166418487760848,0.000166514895991882,5.21510971905664,2014-09-30,2013-10-01,TRUE,0,4.74142950077243e-08,7.80622084206281e-08,2,"No history [0-3]",6.62605273185023e-08
"238310",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","5640","WALLBOARD BLDG & THERMAL INSULATION",0,0,0,0,2,"Not PBL","Not PBL",668146.44,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.000654121719719962,0.00066814644,0.000677584575175056,0.000677977108066971,5.82487165875386,2014-09-30,2013-10-01,TRUE,0,1.93050636214181e-07,3.17835770782445e-07,2,"No history [0-3]",2.69784396301582e-07
"238332",2014-01-01,"Other","Defense","DLA","97AS","ORG-2784","6650","OPTICAL INSTRUMENTS",0,0,0,0,2,"Not PBL","Not PBL",1551839.05,"DLA MARITIME",NA,"DLA MARITIME",2005,2014,"Unlabeled","9700","DEFENSE LOGISTICS AGENCY","DEFENSE LOGISTICS AGENCY","Other DoD","Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",1.2196,1.066177113,1.04203691,1.021440536,1,0.986070912,0.9855,0.00151926519000025,0.00155183905,0.00157376009282383,0.00157467179096905,6.19084667612218,2014-09-30,2013-10-01,TRUE,0,4.48380022655678e-07,7.38206373721077e-07,2,"No history [0-3]",6.26602098278741e-07
