"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"95714",2013-09-30,"Other","DLA","Defense","4230","DECONTAMINATING & IMPREGNATING EQ",0,0,0,0,2,"Not PBL","Not PBL",163728.5108,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001637285108,0.000166272479740022,5.21412431169647,TRUE,5.42155714162943e-08,9.43602931363175e-08,0,2,"No history [0-3]",7.66812959960156e-08
"95715",2013-09-30,"Other","DLA","Defense","4235","HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL",0,0,0,0,2,"Not PBL","Not PBL",2298047.2943,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0022980472943,0.00233375372631258,6.36135896231665,TRUE,7.60954500797571e-07,1.32441451566216e-06,0,2,"No history [0-3]",1.07627708775973e-06
"95716",2013-09-30,"Other","DLA","Defense","4320","POWER AND HAND PUMPS",0,0,0,0,2,"Not PBL","Not PBL",71111724.6497,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0711117246497,0.0722166392299177,7.85194121157185,TRUE,2.35472903738258e-05,4.09832298027277e-05,0,2,"No history [0-3]",3.33047627441732e-05
"95850",2013-09-30,"Other","DLA","Defense","5210","MEASURING TOOLS, CRAFTSMEN'S",0,0,0,0,2,"Not PBL","Not PBL",737064.131,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000737064131,0.000748516432415964,5.86750527690615,TRUE,2.44064719317165e-07,4.24786050527158e-07,0,2,"No history [0-3]",3.45199699924572e-07
"95851",2013-09-30,"Other","DLA","Defense","5307","STUDS",0,0,0,0,2,"Not PBL","Not PBL",2597455.4257,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0025974554257,0.00263781397958769,6.41454810347132,TRUE,8.60097788983735e-07,1.49696991794523e-06,0,2,"No history [0-3]",1.21650314512333e-06
"95852",2013-09-30,"Other","DLA","Defense","5355","KNOBS AND POINTERS",0,0,0,0,2,"Not PBL","Not PBL",2060094.9385,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0020600949385,0.00209210413171524,6.31388723508595,TRUE,6.8216111975162e-07,1.18727741024261e-06,0,2,"No history [0-3]",9.64833485549617e-07
"95853",2013-09-30,"Other","DLA","Defense","5450","MISC PREFABRICATED STRUCTURES",0,0,0,0,2,"Not PBL","Not PBL",3588862.34,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.00358886234,0.00364462510409262,6.55495680017638,TRUE,1.1883832665845e-06,2.06833923287776e-06,0,2,"No history [0-3]",1.68082280867171e-06
"95854",2013-09-30,"Other","DLA","Defense","5660","FENCING FENCES & GATES",0,0,0,0,2,"Not PBL","Not PBL",1807787.9438,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0018077879438,0.00183587685975424,6.25714748574182,TRUE,5.98614474007693e-07,1.04186741497724e-06,0,2,"No history [0-3]",8.46666971679048e-07
"95855",2013-09-30,"Other","DLA","Defense","5670","BUILDING COMPONENTS, PREFABRICATED",0,0,0,0,2,"Not PBL","Not PBL",161410.3404,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0001614103404,0.000163918290240682,5.20793135340223,TRUE,5.34479535331154e-08,9.30242812382362e-08,0,2,"No history [0-3]",7.55955943687117e-08
"96007",2013-09-30,"Other","DLA","Defense","3830","TRUCK AND TRACTOR ATTACHMENTS",0,0,0,0,2,"Not PBL","Not PBL",959701.7557,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0009597017557,0.000974613339798923,5.9821362893126,TRUE,3.17786919457502e-07,5.53096944135221e-07,0,2,"No history [0-3]",4.49470736875032e-07
