"","Fiscal.Year","ProductOrServiceArea","SubCustomer","Customer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation","Graph","pObligation","pObligationLS","LengthSingleScore","JointScore","AddressCat","pObligationA"
"166362",2014-09-30,"Other","DLA","Defense","4440","DRIERS DEHYDRATORS & ANHYDRATORS",0,0,1,0,2,"Not PBL","Not PBL",394597.4292,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000386314636332388,0.0003945974292,5.59615425149932,TRUE,1.2866425722963e-07,2.26032095158264e-07,1,3,"No history [0-3]",1.81979858092348e-07
"166363",2014-09-30,"Other","DLA","Defense","4540","WASTE DISPOSAL EQUIPMENT",0,0,1,0,2,"Not PBL","Not PBL",1736343.3604,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00169989666476287,0.0017363433604,6.23963561069181,TRUE,5.66160122265354e-07,9.94606904715617e-07,1,3,"No history [0-3]",8.00764259832593e-07
"166364",2014-09-30,"Other","DLA","Defense","4820","VALVES, NONPOWERED",0,0,1,0,2,"Not PBL","Not PBL",10296400.962,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0100802744742451,0.010296400962,7.01268544650253,TRUE,3.35729197374655e-06,5.89795297640125e-06,1,3,"No history [0-3]",4.74847894910379e-06
"166365",2014-09-30,"Other","DLA","Defense","5365","BUSHINGS, RINGS, SHIMS AND SPACERS",0,0,1,0,2,"Other","All PBL",879727.75,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000861261834629206,0.00087972775,5.94434829150675,TRUE,2.86848086535998e-07,5.03922964993724e-07,1,3,"No history [0-3]",4.05711541074835e-07
"166366",2014-09-30,"Other","DLA","Defense","5680","MISC CONTRUCT MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",178420248.7665,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.174675120555917,0.1784202487665,8.25144414055877,TRUE,5.81765289976897e-05,0.000102202142393863,1,3,"No history [0-3]",8.2283586127654e-05
"166576",2014-09-30,"Other","DLA","Defense","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",0,0,1,0,2,"Not PBL","Not PBL",2479901.0027,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00242784666879522,0.0024799010027,6.39443434419748,TRUE,8.08607955612629e-07,1.42052932418182e-06,1,3,"No history [0-3]",1.14367707227429e-06
"166577",2014-09-30,"Other","DLA","Defense","6760","PHOTOGRAPHIC EQ & ACCESSORIES",0,0,1,0,2,"Not PBL","Not PBL",124665.2506,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000122048466069492,0.0001246652506,5.09574541437842,TRUE,4.06489264345028e-08,7.14103683941283e-08,1,3,"No history [0-3]",5.74929356717536e-08
"166578",2014-09-30,"Other","DLA","Defense","6830","GASES: COMPRESSED AND LIQUEFIED",0,0,1,0,2,"Not PBL","Not PBL",15775638.9372,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0154445005667956,0.0157756389372,7.19798695785474,TRUE,5.14387757237237e-06,9.03655335176623e-06,1,3,"No history [0-3]",7.27538580504206e-06
"166579",2014-09-30,"Other","DLA","Defense","7530","STATIONERY AND RECORD FORMS",0,0,1,0,2,"Not PBL","Not PBL",613232.6888,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000600360634992461,0.0006132326888,5.78762529717235,TRUE,1.99953478088653e-07,3.5127007732923e-07,1,3,"No history [0-3]",2.8280974336721e-07
"166580",2014-09-30,"Other","DLA","Defense","7920","BROOMS, BRUSHES, MOPS, AND SPONGES",0,0,1,0,2,"Not PBL","Not PBL",485839.8199,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000475641804663997,0.0004858398199,5.68649310712231,TRUE,1.58415171854371e-07,2.78297282944667e-07,1,3,"No history [0-3]",2.24058888726824e-07
"166581",2014-09-30,"Other","DLA","Defense","8145","SPECIAL SHIPPING & STORAGE CONTAIN",0,0,1,0,2,"Not PBL","Not PBL",12544617.7117,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.0122813000557284,0.0125446177117,7.09845743103693,TRUE,4.09035589354404e-06,7.18576963383575e-06,1,3,"No history [0-3]",5.78530822064949e-06
"166587",2014-09-30,"Other","DLA","Defense","9515","PLATE, SHEET, STRIP, FOIL, AND LEAF",0,0,1,0,2,"Not PBL","Not PBL",1026357.2616,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00100481352112699,0.0010263572616,6.01129855934726,TRUE,3.34658781188029e-07,5.87914834343138e-07,1,3,"No history [0-3]",4.73333922110658e-07
"166604",2013-09-30,"Other","DLA","Defense","3439","MISC WELD SOLDER & BRAZING SUPPLY",0,0,1,0,2,"Not PBL","Not PBL",56435.1999,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,5.64351999e-05,5.73120746420229e-05,4.75155006770465,TRUE,1.86874393202585e-08,3.28293276909246e-08,1,3,"No history [0-3]",2.64310977176872e-08
"166605",2013-09-30,"Other","DLA","Defense","3805","EARTH MOVING & EXCAVATING EQ",0,0,1,0,2,"Not PBL","Not PBL",119234172.9838,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.1192341729838,0.121086801039708,8.07640074375428,TRUE,3.94821206708612e-05,6.9360571837747e-05,1,3,"No history [0-3]",5.58426316023812e-05
"166606",2013-09-30,"Other","DLA","Defense","4110","REFRIGERATION EQUIPMENT",0,0,1,0,2,"Not PBL","Not PBL",3879429.9119,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0038794299119,0.00393970743566569,6.58876791005124,TRUE,1.28459917222385e-06,2.25673119006246e-06,1,3,"No history [0-3]",1.81690844139896e-06
"166607",2013-09-30,"Other","DLA","Defense","4120","AIR CONDITIONING EQUIPMENT",0,0,1,0,2,"Not PBL","Not PBL",543770.2582,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0005437702582,0.000552219212145831,5.73541544993618,TRUE,1.80059142561376e-07,3.16320523833681e-07,1,3,"No history [0-3]",2.54671638550468e-07
"166608",2013-09-30,"Other","DLA","Defense","4140","FANS AIR CIRCULATORS & BLOWER EQ",0,0,1,0,2,"Not PBL","Not PBL",2147610.0069,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0021476100069,0.00218097898537626,6.33195541891353,TRUE,7.1114006433286e-07,1.24930172647141e-06,1,3,"No history [0-3]",1.00582065895822e-06
"166609",2013-09-30,"Other","DLA","Defense","4320","POWER AND HAND PUMPS",0,0,1,0,2,"Not PBL","Not PBL",6799878.5033,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0067998785033,0.00690553316065807,6.83250115302715,TRUE,2.25164998335639e-06,3.95560643071825e-06,1,3,"No history [0-3]",3.18468355755967e-06
"166610",2013-09-30,"Other","DLA","Defense","5320","RIVETS",0,0,1,0,2,"Not PBL","Not PBL",90314378.551,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.090314378551,0.0917176587295623,7.95575689791316,TRUE,2.99058827098914e-05,5.25374293686695e-05,1,3,"No history [0-3]",4.22982140405899e-05
"166611",2013-09-30,"Other","DLA","Defense","5325","FASTENING DEVICES",0,0,1,0,2,"Not PBL","Not PBL",3381306.6151,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0033813066151,0.00343384443495481,6.52908455414593,TRUE,1.11965514970861e-06,1.96696428979264e-06,1,3,"No history [0-3]",1.5836152917954e-06
"166612",2013-09-30,"Other","DLA","Defense","5330","PACKING AND GASKET MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",12623759.7099,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0126237597099,0.0128199042448461,7.10118871925748,TRUE,4.18011708987108e-06,7.34345842563054e-06,1,3,"No history [0-3]",5.91226445637114e-06
"166632",2013-09-30,"Other","DLA","Defense","3910","CONVEYORS",0,0,1,0,2,"Not PBL","Not PBL",315231.4252,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0003152314252,0.000320129405097999,5.4986295054884,TRUE,1.04382869923415e-07,1.8337554885436e-07,1,3,"No history [0-3]",1.47636805006639e-07
"166633",2013-09-30,"Other","DLA","Defense","3930","WAREHOUSE TRKS & TRACTORS SELF-PROP",0,0,1,0,2,"Not PBL","Not PBL",859571.4323,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0008595714323,0.000872927218746826,5.93428197336124,TRUE,2.84630673958754e-07,5.00027505435205e-07,1,3,"No history [0-3]",4.02575282141486e-07
"166634",2013-09-30,"Other","DLA","Defense","5411","RIGID WALL SHELTERS",0,0,1,0,2,"Not PBL","Not PBL",18120,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,1.812e-05,1.84015436173454e-05,4.25815819334079,TRUE,6.00009216026689e-09,1.05407160568869e-08,1,3,"No history [0-3]",8.48639663708346e-09
"166635",2013-09-30,"Other","DLA","Defense","5610","MINERAL CONSTRUCTION MATERIALS, BULK",0,0,1,0,2,"Not PBL","Not PBL",80835.1817,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,8.08351817e-05,8.20911767035645e-05,4.90760041885284,TRUE,2.67670275933731e-08,4.70232173127243e-08,1,3,"No history [0-3]",3.7858687314399e-08
"166654",2013-09-30,"Other","DLA","Defense","6810","CHEMICALS",0,0,1,0,2,"Not PBL","Not PBL",234826.6875,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002348266875,0.000238475360515893,5.37074745192549,TRUE,7.77583756451542e-08,1.36602728229405e-07,1,3,"No history [0-3]",1.09979713636725e-07
"166655",2013-09-30,"Other","DLA","Defense","7240","HOUSEHOLD & COMM UTIL CONTAINERS",0,0,1,0,2,"Not PBL","Not PBL",401016.0017,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0004010160017,0.000407246878947903,5.60316170257369,TRUE,1.32788795140273e-07,2.3327791435915e-07,1,3,"No history [0-3]",1.87813512596222e-07
"166656",2013-09-30,"Other","DLA","Defense","7320","KITCHEN EQUIPMENT AND APPLIANCES",0,0,1,0,2,"Not PBL","Not PBL",206630.7517,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002066307517,0.000209841323956535,5.31519495561426,TRUE,6.84218296548137e-08,1.20200666793091e-07,1,3,"No history [0-3]",9.67743110565622e-08
"166663",2013-09-30,"Other","DLA","Defense","9340","GLASS FABRICATED MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",4501.5,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,4.5015e-06,4.57144307911039e-06,3.65335725448053,TRUE,1.49058580901995e-09,2.61860007340379e-09,1,3,"No history [0-3]",2.10825134999068e-09
"166664",2013-09-30,"Other","DLA","Defense","9510","BARS AND RODS",0,0,1,0,2,"Not PBL","Not PBL",67555.2189,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,6.75552189e-05,6.86048734639992e-05,4.82965890557004,TRUE,2.23696213745587e-08,3.92980342486613e-08,1,3,"No history [0-3]",3.16390939564237e-08
"166665",2013-09-30,"Other","DLA","Defense","9905","SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",0,0,1,0,2,"Not PBL","Not PBL",-65.25,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,-6.525e-08,-6.62638367015335e-08,NA,TRUE,-2.16062921334114e-11,-3.79570487147833e-11,1,3,"No history [0-3]",-3.05594580888353e-11
"166666",2013-09-30,"Other","DLA","Defense","9925","ECCLESIASTICAL EQ FURNISHING & SUP",0,0,1,0,2,"Not PBL","Not PBL",86060.2485,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,8.60602485e-05,8.73974291662435e-05,4.93480259577887,TRUE,2.84972087381606e-08,5.00627286547258e-08,1,3,"No history [0-3]",4.03058169678238e-08
"166672",2013-09-30,"Other","DLA","Defense","5680","MISC CONTRUCT MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",182746459.7073,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.1827464597073,0.185585924349853,8.26184897225383,TRUE,6.05130022188907e-05,0.000106306762813244,1,3,"No history [0-3]",8.55882417825021e-05
"166677",2013-09-30,"Other","DLA","Defense","6625","ELECT ELECTRONIC MEASURING INSTRUMT",0,0,1,0,2,"Not PBL","Not PBL",2122009.9468,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0021220099468,0.00215498115852544,6.32674741530059,TRUE,7.02663093035488e-07,1.23440973063513e-06,1,3,"No history [0-3]",9.93831019667835e-07
"166678",2013-09-30,"Other","DLA","Defense","6635","PHYSICAL PROPERTIES TEST EQ",0,0,1,0,2,"Not PBL","Not PBL",33912.4497,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,3.39124497e-05,3.44393720930232e-05,4.53035916261105,TRUE,1.12294604624953e-08,1.97274560199316e-08,1,3,"No history [0-3]",1.58826986252396e-08
"166679",2013-09-30,"Other","DLA","Defense","6675","DRAFTING SURVEYING & MAPPING INSTRU",0,0,1,0,2,"Not PBL","Not PBL",13284,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,1.3284e-05,1.34904031684777e-05,4.12332886692635,TRUE,4.39874306054003e-09,7.72753157283036e-09,1,3,"No history [0-3]",6.22148415712013e-09
"166680",2013-09-30,"Other","DLA","Defense","6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS",0,0,1,0,2,"Not PBL","Not PBL",1888163.053,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.001888163053,0.00191750081547679,6.27603949523775,TRUE,6.2522915737367e-07,1.09837696527471e-06,1,3,"No history [0-3]",8.84310186713269e-07
"166681",2013-09-30,"Other","DLA","Defense","6850","MISCELLANEOUS CHEMICAL SPECIALTIES",0,0,1,0,2,"Not PBL","Not PBL",18978361.7896,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0189783617896,0.0192732423982939,7.27825872145045,TRUE,6.28432228413288e-06,1.10400398923315e-05,1,3,"No history [0-3]",8.88840539010015e-06
"166721",2014-09-30,"Other","DLA","Defense","6695","COMBINATION & MISC INSTRUMENTS",0,0,1,0,2,"Not PBL","Not PBL",785599.2633,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000769109150862992,0.0007855992633,5.89520106751706,TRUE,2.56156118141885e-07,4.50004572504416e-07,1,3,"No history [0-3]",3.62301504960709e-07
"166725",2014-09-30,"Other","DLA","Defense","9330","PLASTICS FABRICATED MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",283512.1304,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000277561072238472,0.0002835121304,5.45257164542674,TRUE,9.24432724953651e-08,1.62400553310789e-07,1,3,"No history [0-3]",1.30749704482999e-07
"166726",2014-09-30,"Other","DLA","Defense","9530","BARS & RODS NONFERROUS BASE METAL",0,0,1,0,2,"Not PBL","Not PBL",258854.5321,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000253421048976267,0.0002588545321,5.41305577313781,TRUE,8.44033022989852e-08,1.48276263102869e-07,1,3,"No history [0-3]",1.19378149811117e-07
"166799",2013-09-30,"Other","DLA","Defense","7690","MISCELLANEOUS PRINTED MATTER",0,0,1,0,2,"Not PBL","Not PBL",58110.9297,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,5.81109297e-05,5.90138414745608e-05,4.76425782364648,TRUE,1.92423252604189e-08,3.38041285744712e-08,1,3,"No history [0-3]",2.72159160256001e-08
"166800",2013-09-30,"Other","DLA","Defense","8105","BAGS AND SACKS",0,0,1,0,2,"Not PBL","Not PBL",1242151.2023,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0012421512023,0.00126145140885549,6.09417446405934,TRUE,4.11314662846927e-07,7.22580746311536e-07,1,3,"No history [0-3]",5.81754292822732e-07
"166801",2013-09-30,"Other","DLA","Defense","8115","BOXES, CARTONS, AND CRATES",0,0,1,0,2,"Not PBL","Not PBL",2316590.2549,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0023165902549,0.00235258480237636,6.36484922508373,TRUE,7.67094648287868e-07,1.34760044685719e-06,1,3,"No history [0-3]",1.08496157553442e-06
"166802",2013-09-30,"Other","DLA","Defense","8125","BOTTLES AND JARS",0,0,1,0,2,"Not PBL","Not PBL",3808.75,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,3.80875e-06,3.86792931857418e-06,3.58078246723073,TRUE,1.26119486840047e-09,2.21561546808323e-09,1,3,"No history [0-3]",1.78380591564523e-09
"166803",2013-09-30,"Other","DLA","Defense","8135","PACKAGING & PACKING BULK MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",842788.9301,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0008427889301,0.000855883954605464,5.92571882258383,TRUE,2.79073468667369e-07,4.90264834882541e-07,1,3,"No history [0-3]",3.94715294821844e-07
"166807",2013-09-30,"Other","DLA","Defense","9330","PLASTICS FABRICATED MATERIALS",0,0,1,0,2,"Not PBL","Not PBL",260155.9705,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.0002601559705,0.000264198203005992,5.41523379727203,TRUE,8.61456842739335e-08,1.51337208363375e-07,1,3,"No history [0-3]",1.2184253604682e-07
"166808",2013-09-30,"Other","DLA","Defense","9505","WIRE, NONELECTRICAL",0,0,1,0,2,"Not PBL","Not PBL",263986,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,0.000263986,0.000268087742459632,5.42158089549117,TRUE,8.74139254426168e-08,1.53565202483077e-07,1,3,"No history [0-3]",1.23636308092556e-07
"166809",2013-09-30,"Other","DLA","Defense","9525","WIRE NONELECT NONFERROUS BASE METAL",0,0,1,0,2,"Not PBL","Not PBL",89415.8496,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,8.94158496e-05,9.08051686808165e-05,4.95141450742812,TRUE,2.96083519971614e-08,5.20147396036925e-08,1,3,"No history [0-3]",4.18773932310927e-08
"166810",2013-09-30,"Other","DLA","Defense","9540","STRUCTURAL SHAPES NONFERROUS METAL",0,0,1,0,2,"Not PBL","Not PBL",66262.0301,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,6.62620301e-05,6.72915914491723e-05,4.82126473742764,TRUE,2.1941406585341e-08,3.85457640528144e-08,1,3,"No history [0-3]",3.1033436501488e-08
"166811",2013-09-30,"Other","DLA","Defense","9545","PLATE, SHEET, STRIP, FOIL, AND WIRE: PRECIOUS METAL",0,0,1,0,2,"Not PBL","Not PBL",-270.73,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1,1.020164046,1.043797535,1.194,0.9847,-2.7073e-07,-2.74936528892048e-07,NA,TRUE,-8.96470723261068e-11,-1.57488303426104e-10,1,3,"No history [0-3]",-1.26794821278014e-10
"167328",2014-09-30,"Other","DLA","Defense","3805","EARTH MOVING & EXCAVATING EQ",0,0,1,0,2,"Not PBL","Not PBL",85465892.9764,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.083671922118039,0.0854658929764,7.93179283464193,TRUE,2.78674031419047e-05,4.89563119891396e-05,1,3,"No history [0-3]",3.94150339679432e-05
"167356",2014-09-30,"Other","DLA","Defense","3431","ELECTRIC ARC WELDING EQUIPMENT",0,0,1,0,2,"Not PBL","Not PBL",42463,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,4.15716808795221e-05,4.2463e-05,4.62801067370705,TRUE,1.38456815743031e-08,2.43235260710243e-08,1,3,"No history [0-3]",1.95830234622708e-08
"167357",2014-09-30,"Other","DLA","Defense","3895","MISC CONTRUCT EQ",0,0,1,0,2,"Not PBL","Not PBL",149441.1986,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000146304354813661,0.0001494411986,5.17447034217883,TRUE,4.87274862797679e-08,8.56024513160213e-08,1,3,"No history [0-3]",6.89190706830341e-08
"167467",2014-09-30,"Other","DLA","Defense","4130","REFRIGERATION & AIR CONDITION COMP",0,0,1,0,2,"Not PBL","Not PBL",2061341.4523,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00201807288789643,0.0020613414523,6.31414993674145,TRUE,6.72130498656647e-07,1.1807713198856e-06,1,3,"No history [0-3]",9.50646398609198e-07
"167469",2014-09-30,"Other","DLA","Defense","4420","HEAT EXCHANGERS & STEAM CONDENSERS",0,0,1,0,2,"Not PBL","Not PBL",15576.52,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,1.52495612333913e-05,1.557652e-05,4.19247043705852,TRUE,5.07895193358366e-09,8.92249464983234e-09,1,3,"No history [0-3]",7.18355642843254e-09
"167470",2014-09-30,"Other","DLA","Defense","5110","HAND TOOLS, EDGED, NONPOWERED",0,0,1,0,2,"Not PBL","Not PBL",47134.5494,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,4.61451721747608e-05,4.71345494e-05,4.67333935964002,TRUE,1.53689085118964e-08,2.69994687416546e-08,1,3,"No history [0-3]",2.17374416970955e-08
"167471",2014-09-30,"Other","DLA","Defense","5331","O-RING",0,0,1,0,2,"Not PBL","Not PBL",920435.3408,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000901114953205656,0.0009204353408,5.96399328537662,TRUE,3.00121391292464e-07,5.27240962923978e-07,1,3,"No history [0-3]",4.24485007521599e-07
"167472",2014-09-30,"Other","DLA","Defense","5610","MINERAL CONSTRUCTION MATERIALS, BULK",0,0,1,0,2,"Not PBL","Not PBL",37626.9805,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,3.68371717920543e-05,3.76269805e-05,4.57549936833837,TRUE,1.22688267575421e-08,2.15533721396432e-08,1,3,"No history [0-3]",1.73527551502698e-08
"167473",2014-09-30,"Other","DLA","Defense","5660","FENCING FENCES & GATES",0,0,1,0,2,"Not PBL","Not PBL",316100,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00030946490653079,0.0003161,5.49982449583958,TRUE,1.0306902351782e-07,1.81067437323099e-07,1,3,"No history [0-3]",1.45778529930147e-07
"167474",2014-09-30,"Other","DLA","Defense","5675","NONWOOD CONSTRUCT MATERIAL",0,0,1,0,2,"Not PBL","Not PBL",71063.9204,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,6.9572253983858e-05,7.10639204e-05,4.85164916263997,TRUE,2.31714295570266e-08,4.07066180099991e-08,1,3,"No history [0-3]",3.27731535810976e-08
"167482",2014-09-30,"Other","DLA","Defense","4330","CENTRIFUGALS SEPARATORS & FILTERS",0,0,1,0,2,"Not PBL","Not PBL",7238948.9413,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.00708699986555067,0.0072389489413,6.8596755134167,TRUE,2.36036507015232e-06,4.1465926406642e-06,1,3,"No history [0-3]",3.33844775356566e-06
"167484",2014-09-30,"Other","DLA","Defense","4510","PLUMBING FIXTURES AND ACCESSORIES",0,0,1,0,2,"Not PBL","Not PBL",870032.4679,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products",1.021440536,1.04203691,1.066177113,1.2196,1,0.000851770061238298,0.0008700324679,5.93953545993667,TRUE,2.83686798150118e-07,4.98369343089354e-07,1,3,"No history [0-3]",4.01240285232393e-07
