"","Fiscal.Year","ProductOrServiceArea","Customer","SubCustomer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.platform","SubCustomer.component","Subcustomer.Obsolete","ProductServiceOrRnDarea","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","ProductServiceOrRnDarea.sum","SupplyServiceFRC","SupplyServiceERS","Deflator.2005","Deflator.2011","Deflator.2012","Deflator.2013","Deflator.2014","Deflator.2015","Deflator.2016","Obligation.2013","Obligation.2014","Obligation.2015","Obligation.2016","LogOfAction.Obligation","Fiscal.Year.End","Fiscal.Year.Start","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"21",2003-01-01,"Fuels","Defense","Army","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",183648,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,0.000233819270537656,0.000232377510212318,0.000237364073821406,0.000237578266494179,5.26398620306686,2003-09-30,2002-10-01,TRUE,0,7.59334830632116e-08,1.32146589719571e-07,0,"No history [0-3]",1.07423347844842e-07
"22",2003-01-01,"Fuels","Defense","Army","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",119888,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,0.000152640511773711,0.000151699310334632,0.000154954609265011,0.000155094437257439,5.07877571525403,2003-09-30,2002-10-01,TRUE,0,4.95704468193627e-08,8.62671542750261e-08,0,"No history [0-3]",7.01274738980139e-08
"23",2003-01-01,"Fuels","Defense","Army","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",137190,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,0.000174669289755734,0.000173592255978981,0.000177317353238579,0.000177477360931436,5.13732245610034,2003-09-30,2002-10-01,TRUE,0,5.67243560585577e-08,9.87170600476347e-08,0,"No history [0-3]",8.02481327911762e-08
"24",2004-01-01,"Other","Defense","Army","9640","IRON & STEEL PRIMARY & SEMIFINISHED",-2,0,0,0,0,"Not PBL","Not PBL",4800,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.9645,0.843168109,0.824077239,0.807788945,0.810993072,0.793958032,0.7932,5.94214618770253e-06,5.9186695493744e-06,6.04565960232014e-06,6.05143721633888e-06,3.68124123737559,2004-09-30,2003-10-01,TRUE,0,1.93412769676142e-09,3.36595094678357e-09,0,"No history [0-3]",2.73621680402288e-09
"25",2005-01-01,"Fuels","Defense","Air Force","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",12505,"Air Force","Air Force","Air Force","Air Force",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,1.49309700004181e-05,1.49032946246842e-05,1.52246757014718e-05,1.52388496222276e-05,4.09708369606652,2005-09-30,2004-10-01,TRUE,0,4.8705588552672e-09,8.47620465686034e-09,0,"No history [0-3]",6.89039560680487e-09
"26",2005-01-01,"Clothing & Subsistence","Defense","Air Force","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",65708,"Air Force","Air Force","Air Force","Air Force",FALSE,"Clothing & Subsistence","Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,7.84553520021967e-05,7.83099306836266e-05,7.99986398234551e-05,8.00731172312942e-05,4.81761824846912,2005-09-30,2004-10-01,TRUE,0,2.55925374859574e-08,4.45385410310259e-08,0,"No history [0-3]",3.62058468238252e-08
"27",2005-01-01,"Fuels","Defense","Air Force","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",8000,"Air Force","Air Force","Air Force","Air Force",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,9.55200000026746e-06,9.53429484186116e-06,9.73989649034579e-06,9.74896417255667e-06,3.90308998699194,2005-09-30,2004-10-01,TRUE,0,3.11591130284987e-09,5.42260193961477e-09,0,"No history [0-3]",4.40808995237417e-09
"28",2005-01-01,"Fuels","Defense","Air Force","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",26004,"Air Force","Air Force","Air Force","Air Force",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",1,0.87420229,0.854408749,0.837520938,0.839076212,0.821363965,0.8206,3.10487760008694e-05,3.09912253834697e-05,3.1659533541869e-05,3.16890080428954e-05,4.41504015736744,2005-09-30,2004-10-01,TRUE,0,1.01282696899135e-08,1.76261676047178e-08,0,"No history [0-3]",1.43284963901922e-08
"29",2004-01-01,"Fuels","Defense","Army","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",4761,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9645,0.843168109,0.824077239,0.807788945,0.810993072,0.793958032,0.7932,5.89386624992745e-06,5.87058035928573e-06,5.99653861805129e-06,6.00226928895613e-06,3.67769818147451,2004-09-30,2003-10-01,TRUE,0,1.91841290922524e-09,3.33860259534095e-09,0,"No history [0-3]",2.71398504249019e-09
"30",2004-01-01,"Fuels","Defense","DLA","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",497847,"Other DoD","DLA","DLA","DLA",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9645,0.843168109,0.824077239,0.807788945,0.810993072,0.793958032,0.7932,0.000616308261064405,0.000613873308155708,0.00062704447834089,0.000627643721633888,5.69709589443632,2004-09-30,2003-10-01,TRUE,0,2.00604098218663e-07,3.49110121042367e-07,0,"No history [0-3]",2.83795276506745e-07
